qseqid,sseqid,pident,length,accession,ncbi_isolation_source,ncbi_country,gtdb_taxonomy
AB022925.1,RS_GCF_019655955.1~NZ_BPKT01000013.1,98.896,1449,RS_GCF_019655955.1,Modified-atmosphere packaged; tomato-marinated broiler meat strips,Finland,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_020089085.1~NZ_JAHBFG010000024.1,98.896,1449,RS_GCF_020089085.1,cucumber,Belgium: Ghent,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_900016145.1~NZ_FBSY01000010.1,98.896,1449,RS_GCF_900016145.1,vegetable salad,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_020088905.1~NZ_JAHBEY010000010.1,98.896,1449,RS_GCF_020088905.1,Pork meat,Spain: Malaga,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_013403485.1~NZ_CP058617.1,98.896,1449,RS_GCF_013403485.1,none,South Korea,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_020089215.1~NZ_JAHBFL010000007.1,98.896,1449,RS_GCF_020089215.1,Beef meat,Finland: Helsinki,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_020088965.1~NZ_JAHBFA010000015.1,98.896,1449,RS_GCF_020088965.1,Salad blend,Belgium: Ghent,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_020089185.1~NZ_JAHBFK010000024.1,98.896,1449,RS_GCF_020089185.1,Processing plant,Belgium: Ghent,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_020089165.1~NZ_JAHBFI010000008.1,98.896,1449,RS_GCF_020089165.1,Iceberg lettuce,Belgium: Ghent,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,GB_GCA_900016205.1~FBTU01000028.1,98.896,1449,GB_GCA_900016205.1,carrot,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_020089125.1~NZ_JAHBFH010000026.1,98.896,1449,RS_GCF_020089125.1,Celery,Belgium: Ghent,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_900218135.1~NZ_OBMW01000046.1,98.896,1449,RS_GCF_900218135.1,beef carpaccio,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_030161455.1~NZ_BSUF01000010.1,98.896,1449,RS_GCF_030161455.1,Modified-atmosphere packaged; tomato-marinated broiler meat strips,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_020089205.1~NZ_JAHBFM010000011.1,98.896,1449,RS_GCF_020089205.1,Pork meat,Finland: Helsinki,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_020089025.1~NZ_JAHBFC010000033.1,98.896,1449,RS_GCF_020089025.1,Blood sausage,Belgium: Ghent,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_020088915.1~NZ_JAHBEZ010000005.1,98.896,1449,RS_GCF_020088915.1,Bell pepper,Belgium: Ghent,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_000166715.1~NZ_AEMI01000043.1,98.827,1449,RS_GCF_000166715.1,kimchi,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gelidum
AB022925.1,RS_GCF_020089455.1~NZ_JAHBFY010000011.1,98.827,1449,RS_GCF_020089455.1,Pork meat,Finland: Helsinki,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gelidum
AB022925.1,RS_GCF_020089445.1~NZ_JAHBFZ010000005.1,98.827,1449,RS_GCF_020089445.1,Broiler leg meat,Finland: Helsinki,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gelidum
AB022925.1,RS_GCF_020089425.1~NZ_JAHBFW010000005.1,98.827,1449,RS_GCF_020089425.1,carrot,Finland: Helsinki,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gelidum
AB022925.1,RS_GCF_020089505.1~NZ_JAHBGA010000002.1,98.827,1449,RS_GCF_020089505.1,Pork meat,Finland: Helsinki,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gelidum
AB022925.1,RS_GCF_020089225.1~NZ_JAHBFO010000005.1,98.827,1449,RS_GCF_020089225.1,Beef meat,Finland: Helsinki,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gelidum
AB022925.1,GB_GCA_030161755.1~BSUU01000012.1,98.827,1449,GB_GCA_030161755.1,Vakuum-packaged beef,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gelidum
AB022925.1,RS_GCF_000298875.1~NC_018631.1,98.827,1449,RS_GCF_000298875.1,kimchi; Korean traditional fermented food,South Korea,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gelidum
AB022925.1,RS_GCF_019655935.1~NZ_BPKS01000008.1,98.827,1449,RS_GCF_019655935.1,modified atmosphere-packaged pork,Finland,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gelidum
AB022925.1,RS_GCF_020089405.1~NZ_JAHBFV010000009.1,98.827,1449,RS_GCF_020089405.1,Salad blend,Finland: Helsinki,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gelidum
AB022925.1,RS_GCF_023921265.1~NZ_CP071950.1,98.827,1449,RS_GCF_023921265.1,kimchi,South Korea:Iksan,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gelidum
AB022925.1,RS_GCF_019655975.1~NZ_BPKU01000010.1,98.827,1449,RS_GCF_019655975.1,vacuum-packaged beef,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gelidum
AB022925.1,RS_GCF_020088885.1~NZ_JAHBEW010000003.1,98.827,1449,RS_GCF_020088885.1,Processing plant,Finland: Helsinki,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_020089105.1~NZ_JAHBFF010000005.1,98.827,1449,RS_GCF_020089105.1,Acetic acid solution,Belgium: Ghent,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_020089065.1~NZ_JAHBFE010000007.1,98.827,1449,RS_GCF_020089065.1,Boiled eggs,Belgium: Ghent,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_020088925.1~NZ_JAHBEV010000009.1,98.827,1449,RS_GCF_020088925.1,Marinated rainbow trout,Finland: Helsinki,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_000196855.1~NC_014319.1,98.827,1449,RS_GCF_000196855.1,none,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_900016175.1~NZ_FBTD01000004.1,98.828,1450,RS_GCF_900016175.1,carrot,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_001536305.1~NZ_LN890331.1,98.827,1449,RS_GCF_001536305.1,none,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,GB_GCA_900016165.1~FBTB01000006.1,98.827,1449,GB_GCA_900016165.1,Acetic acid preserved herring with carrots,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_026616915.1~NZ_JANYMI010000018.1,98.758,1449,RS_GCF_026616915.1,Fresh-cut apple,Singapore,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gelidum
AB022925.1,RS_GCF_006770305.1~NZ_CP017196.1,98.758,1449,RS_GCF_006770305.1,meat,Germany,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gelidum
AB022925.1,RS_GCF_020089375.1~NZ_JAHBFU010000003.1,98.758,1449,RS_GCF_020089375.1,Broiler fillet,Finland: Helsinki,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gelidum
AB022925.1,RS_GCF_020089345.1~NZ_JAHBFR010000011.1,98.758,1449,RS_GCF_020089345.1,Pork and beef meat,Finland: Helsinki,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gelidum
AB022925.1,RS_GCF_020088785.1~NZ_JAHBES010000027.1,98.758,1449,RS_GCF_020088785.1,Marinated beef,Finland: Helsinki,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_020089265.1~NZ_JAHBFN010000028.1,98.758,1449,RS_GCF_020089265.1,Minced pork and beef meat,Finland: Helsinki,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_020088855.1~NZ_JAHBEU010000019.1,98.758,1449,RS_GCF_020088855.1,Marinated rainbow trout,Finland: Helsinki,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_020089365.1~NZ_JAHBFT010000007.1,98.689,1449,RS_GCF_020089365.1,Cooked ham,Finland: Helsinki,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gelidum
AB022925.1,RS_GCF_020089005.1~NZ_JAHBFD010000021.1,98.689,1449,RS_GCF_020089005.1,Boiled eggs,Belgium: Ghent,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum
AB022925.1,RS_GCF_000219785.1~NC_015734.1,98.482,1449,RS_GCF_000219785.1,kimchi,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc kimchii
AB022925.1,RS_GCF_004551615.1~NZ_CP037939.1,98.482,1449,RS_GCF_004551615.1,kimchi,South Korea: Sangju,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc kimchii
AB022925.1,RS_GCF_019656055.1~NZ_BPKY01000011.1,98.344,1449,RS_GCF_019656055.1,Brown algae kimchi (miyukkimchi),South Korea,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc miyukkimchii
AB022925.1,RS_GCF_016908715.1~NZ_JAFBEK010000020.1,98.276,1450,RS_GCF_016908715.1,none,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc rapi
AB022925.1,RS_GCF_019656095.1~NZ_BPLA01000023.1,98.276,1450,RS_GCF_019656095.1,spoiled sous-vide-cooked rutabaga (Brassica napobrassica),Finland,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc rapi
AB022925.1,RS_GCF_000092505.1~NC_014136.1,98.275,1449,RS_GCF_000092505.1,none,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc kimchii
AB022925.1,RS_GCF_019656015.1~NZ_BPKW01000030.1,98.206,1449,RS_GCF_019656015.1,kimchi (fermented vegetable food in Korea),South Korea,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc inhae_A
AB022925.1,RS_GCF_020858715.1~NZ_PKPE01000029.1,97.862,1450,RS_GCF_020858715.1,food,Germany,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides
AB022925.1,RS_GCF_006382035.1~NZ_QFDJ01000051.1,97.862,1450,RS_GCF_006382035.1,sourdough,Ireland: Cork,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides
AB022925.1,RS_GCF_008033175.1~NZ_CP042383.1,97.862,1450,RS_GCF_008033175.1,kimchi,South Korea,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides
AB022925.1,GB_GCA_002092075.1~MPAL01000058.1,97.862,1450,GB_GCA_002092075.1,dairy starter,Norway,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_002072515.1~MPHN01000001.1,97.862,1450,GB_GCA_002072515.1,dairy,Norway,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_002072505.1~MPHR01000004.1,97.862,1450,GB_GCA_002072505.1,dairy,Norway,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_002072475.1~MPHO01000001.1,97.862,1450,GB_GCA_002072475.1,dairy,Norway,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_002092645.1~MPLM01000076.1,97.862,1450,GB_GCA_002092645.1,dairy,Denmark,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_000297375.1~CAKV01000003.1,97.862,1450,GB_GCA_000297375.1,none,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,RS_GCF_025211415.1~NZ_RIVO01000047.1,97.862,1450,RS_GCF_025211415.1,cheese (Majojero),Spain,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_002092355.1~MPBD01000052.1,97.862,1450,GB_GCA_002092355.1,dairy,Poland,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,RS_GCF_025211315.1~NZ_RIVL01000039.1,97.862,1450,RS_GCF_025211315.1,fermented milk (Kefir),Russia,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_002072495.1~MPHS01000065.1,97.862,1450,GB_GCA_002072495.1,dairy,Norway,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_901830415.1~CABFLC010000190.1,97.862,1450,GB_GCA_901830415.1,Human adenoid,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_925297955.1~CAKMCD010000054.1,97.862,1450,GB_GCA_925297955.1,sturter culture Kefirferment,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_002092635.1~MPLK01000052.1,97.862,1450,GB_GCA_002092635.1,dairy,Denmark,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,RS_GCF_026486025.1~NZ_QVOQ01000034.1,97.862,1450,RS_GCF_026486025.1,sweet potato leaves,Australia,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,RS_GCF_014634785.1~NZ_BMBR01000035.1,97.862,1450,RS_GCF_014634785.1,yogurt,China,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_002072565.1~MPHP01000097.1,97.862,1450,GB_GCA_002072565.1,dairy,Norway,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_002092255.1~MPBA01000055.1,97.862,1450,GB_GCA_002092255.1,dairy,Poland,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,RS_GCF_014634805.1~NZ_BMBS01000060.1,97.862,1450,RS_GCF_014634805.1,lactic culture,Sweden,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_002092555.1~MPLG01000052.1,97.862,1450,GB_GCA_002092555.1,dairy,Denmark,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_002092035.1~MPAR01000055.1,97.862,1450,GB_GCA_002092035.1,dairy,Norway,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
