qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
AB022925.1	RS_GCF_008690925.1~NZ_VBXF01000007.1	99.931	1449	1	0	2	1450	37	1485	0.0	2671.0
AB022925.1	RS_GCF_000300135.1~NC_018673.1	99.931	1449	1	0	2	1450	37	1485	0.0	2671.0
AB022925.1	RS_GCF_008690825.1~NZ_VBXA01000007.1	99.931	1449	1	0	2	1450	37	1485	0.0	2671.0
AB022925.1	RS_GCF_020089135.1~NZ_JAHBFJ010000024.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	RS_GCF_020088845.1~NZ_JAHBEQ010000001.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	RS_GCF_009296125.1~NZ_CP017197.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	GB_GCA_000166735.2~AEMJ01000011.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	GB_GCA_900016185.1~FBSX01000012.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	RS_GCF_019655955.1~NZ_BPKT01000013.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	RS_GCF_020089085.1~NZ_JAHBFG010000024.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	RS_GCF_900016145.1~NZ_FBSY01000010.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	RS_GCF_020088905.1~NZ_JAHBEY010000010.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	RS_GCF_013403485.1~NZ_CP058617.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	RS_GCF_020089215.1~NZ_JAHBFL010000007.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	RS_GCF_020088965.1~NZ_JAHBFA010000015.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	RS_GCF_020089185.1~NZ_JAHBFK010000024.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	RS_GCF_020089165.1~NZ_JAHBFI010000008.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	GB_GCA_900016205.1~FBTU01000028.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	RS_GCF_020089125.1~NZ_JAHBFH010000026.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	RS_GCF_900218135.1~NZ_OBMW01000046.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	RS_GCF_030161455.1~NZ_BSUF01000010.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	RS_GCF_020089205.1~NZ_JAHBFM010000011.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	RS_GCF_020089025.1~NZ_JAHBFC010000033.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	RS_GCF_020088915.1~NZ_JAHBEZ010000005.1	98.896	1449	16	0	2	1450	37	1485	0.0	2588.0
AB022925.1	RS_GCF_000166715.1~NZ_AEMI01000043.1	98.827	1449	17	0	2	1450	37	1485	0.0	2582.0
AB022925.1	RS_GCF_020089455.1~NZ_JAHBFY010000011.1	98.827	1449	17	0	2	1450	37	1485	0.0	2582.0
AB022925.1	RS_GCF_020089445.1~NZ_JAHBFZ010000005.1	98.827	1449	17	0	2	1450	37	1485	0.0	2582.0
AB022925.1	RS_GCF_020089425.1~NZ_JAHBFW010000005.1	98.827	1449	17	0	2	1450	37	1485	0.0	2582.0
AB022925.1	RS_GCF_020089505.1~NZ_JAHBGA010000002.1	98.827	1449	17	0	2	1450	37	1485	0.0	2582.0
AB022925.1	RS_GCF_020089225.1~NZ_JAHBFO010000005.1	98.827	1449	17	0	2	1450	37	1485	0.0	2582.0
AB022925.1	GB_GCA_030161755.1~BSUU01000012.1	98.827	1449	17	0	2	1450	37	1485	0.0	2582.0
AB022925.1	RS_GCF_000298875.1~NC_018631.1	98.827	1449	17	0	2	1450	37	1485	0.0	2582.0
AB022925.1	RS_GCF_019655935.1~NZ_BPKS01000008.1	98.827	1449	17	0	2	1450	37	1485	0.0	2582.0
AB022925.1	RS_GCF_020089405.1~NZ_JAHBFV010000009.1	98.827	1449	17	0	2	1450	37	1485	0.0	2582.0
AB022925.1	RS_GCF_023921265.1~NZ_CP071950.1	98.827	1449	17	0	2	1450	37	1485	0.0	2582.0
AB022925.1	RS_GCF_019655975.1~NZ_BPKU01000010.1	98.827	1449	17	0	2	1450	37	1485	0.0	2582.0
AB022925.1	RS_GCF_020088885.1~NZ_JAHBEW010000003.1	98.827	1449	17	0	2	1450	37	1485	0.0	2582.0
AB022925.1	RS_GCF_020089105.1~NZ_JAHBFF010000005.1	98.827	1449	17	0	2	1450	37	1485	0.0	2582.0
AB022925.1	RS_GCF_020089065.1~NZ_JAHBFE010000007.1	98.827	1449	17	0	2	1450	37	1485	0.0	2582.0
AB022925.1	RS_GCF_020088925.1~NZ_JAHBEV010000009.1	98.827	1449	17	0	2	1450	37	1485	0.0	2582.0
AB022925.1	RS_GCF_000196855.1~NC_014319.1	98.827	1449	17	0	2	1450	37	1485	0.0	2582.0
AB022925.1	RS_GCF_900016175.1~NZ_FBTD01000004.1	98.828	1450	16	1	2	1450	37	1486	0.0	2582.0
AB022925.1	RS_GCF_001536305.1~NZ_LN890331.1	98.827	1449	17	0	2	1450	37	1485	0.0	2582.0
AB022925.1	GB_GCA_900016165.1~FBTB01000006.1	98.827	1449	17	0	2	1450	37	1485	0.0	2582.0
AB022925.1	RS_GCF_026616915.1~NZ_JANYMI010000018.1	98.758	1449	18	0	2	1450	37	1485	0.0	2579.0
AB022925.1	RS_GCF_006770305.1~NZ_CP017196.1	98.758	1449	18	0	2	1450	37	1485	0.0	2577.0
AB022925.1	RS_GCF_020089375.1~NZ_JAHBFU010000003.1	98.758	1449	18	0	2	1450	37	1485	0.0	2577.0
AB022925.1	RS_GCF_020089345.1~NZ_JAHBFR010000011.1	98.758	1449	18	0	2	1450	37	1485	0.0	2577.0
AB022925.1	RS_GCF_020088785.1~NZ_JAHBES010000027.1	98.758	1449	18	0	2	1450	37	1485	0.0	2577.0
AB022925.1	RS_GCF_020089265.1~NZ_JAHBFN010000028.1	98.758	1449	18	0	2	1450	37	1485	0.0	2577.0
AB022925.1	RS_GCF_020088855.1~NZ_JAHBEU010000019.1	98.758	1449	18	0	2	1450	37	1485	0.0	2577.0
AB022925.1	RS_GCF_020089365.1~NZ_JAHBFT010000007.1	98.689	1449	19	0	2	1450	37	1485	0.0	2571.0
AB022925.1	RS_GCF_020089005.1~NZ_JAHBFD010000021.1	98.689	1449	19	0	2	1450	37	1485	0.0	2571.0
AB022925.1	RS_GCF_000219785.1~NC_015734.1	98.482	1449	22	0	2	1450	37	1485	0.0	2555.0
AB022925.1	RS_GCF_004551615.1~NZ_CP037939.1	98.482	1449	22	0	2	1450	37	1485	0.0	2555.0
AB022925.1	RS_GCF_019656055.1~NZ_BPKY01000011.1	98.344	1449	24	0	2	1450	37	1485	0.0	2543.0
AB022925.1	RS_GCF_016908715.1~NZ_JAFBEK010000020.1	98.276	1450	23	2	2	1450	37	1485	0.0	2538.0
AB022925.1	RS_GCF_019656095.1~NZ_BPLA01000023.1	98.276	1450	23	2	2	1450	37	1485	0.0	2538.0
AB022925.1	RS_GCF_000092505.1~NC_014136.1	98.275	1449	25	0	2	1450	37	1485	0.0	2538.0
AB022925.1	RS_GCF_019656015.1~NZ_BPKW01000030.1	98.206	1449	26	0	2	1450	37	1485	0.0	2532.0
AB022925.1	RS_GCF_020858715.1~NZ_PKPE01000029.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	RS_GCF_006382035.1~NZ_QFDJ01000051.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	RS_GCF_008033175.1~NZ_CP042383.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	GB_GCA_002092075.1~MPAL01000058.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	GB_GCA_002072515.1~MPHN01000001.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	GB_GCA_002072505.1~MPHR01000004.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	GB_GCA_002072475.1~MPHO01000001.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	GB_GCA_002092645.1~MPLM01000076.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	GB_GCA_000297375.1~CAKV01000003.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	RS_GCF_025211415.1~NZ_RIVO01000047.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	GB_GCA_002092355.1~MPBD01000052.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	RS_GCF_025211315.1~NZ_RIVL01000039.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	GB_GCA_002072495.1~MPHS01000065.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	GB_GCA_901830415.1~CABFLC010000190.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	GB_GCA_925297955.1~CAKMCD010000054.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	GB_GCA_002092635.1~MPLK01000052.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	RS_GCF_026486025.1~NZ_QVOQ01000034.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	RS_GCF_014634785.1~NZ_BMBR01000035.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	GB_GCA_002072565.1~MPHP01000097.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	GB_GCA_002092255.1~MPBA01000055.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	RS_GCF_014634805.1~NZ_BMBS01000060.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	GB_GCA_002092555.1~MPLG01000052.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	GB_GCA_002092035.1~MPAR01000055.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	GB_GCA_002072575.1~MPHU01000001.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	GB_GCA_003346375.1~QMJJ01000032.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	RS_GCF_025211365.1~NZ_RIVM01000005.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	GB_GCA_002072555.1~MPHT01000001.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	GB_GCA_002092375.1~MPEE01000053.1	97.862	1450	30	1	2	1450	36	1485	0.0	2505.0
AB022925.1	RS_GCF_019656075.1~NZ_BPKZ01000020.1	97.792	1449	32	0	2	1450	37	1485	0.0	2499.0
AB022925.1	RS_GCF_025211355.1~NZ_RIKR01000023.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	RS_GCF_025211125.1~NZ_RICO01000095.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	RS_GCF_030400235.1~NZ_VJYC01000031.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	RS_GCF_014634765.1~NZ_BMBQ01000038.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	RS_GCF_020881495.1~NZ_PDDE01000012.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	RS_GCF_025211395.1~NZ_RIKU01000067.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	RS_GCF_016517085.1~NZ_JACVUF010000017.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	RS_GCF_014634725.1~NZ_BMBO01000027.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	GB_GCA_902363165.1~CABIZG010000002.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	RS_GCF_026810245.1~NZ_CP113947.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	GB_GCA_002092535.1~MPLF01000060.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	GB_GCA_002092295.1~MPBB01000066.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	GB_GCA_002092235.1~MPBC01000073.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	RS_GCF_002095565.1~NZ_MOWQ01000060.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	GB_GCA_016127035.1~CP065975.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	RS_GCF_029823155.1~NZ_JARACB010000035.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	GB_GCA_002072585.1~MPHQ01000081.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	RS_GCF_030017175.1~NZ_JASDEM010000028.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	GB_GCA_000686505.1~JDVA01000019.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	GB_GCA_000686465.1~JAUI01000054.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	RS_GCF_025211065.1~NZ_RIGV01000093.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	GB_GCA_925279165.1~CAKMAH010000055.1	97.793	1450	31	1	2	1450	36	1485	0.0	2499.0
AB022925.1	RS_GCF_025188495.1~NZ_RIKY01000027.1	97.792	1449	32	0	2	1450	37	1485	0.0	2499.0
AB022925.1	RS_GCF_018991475.1~NZ_JAGYGO010000012.1	97.792	1449	32	0	2	1450	37	1485	0.0	2499.0
AB022925.1	RS_GCF_019655995.1~NZ_BPKV01000020.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_025395235.1~NZ_QVOV01000011.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_012396485.1~NZ_JAAXPO010000017.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_018257095.1~NZ_JAERKP010000031.1	97.726	1451	30	3	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_014634745.1~NZ_BMBP01000019.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_029823355.1~NZ_JARGDN010000023.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_012396745.1~NZ_JAAXPY010000020.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_016127255.1~NZ_CP065993.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_025211155.1~NZ_RIGU01000093.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_025211425.1~NZ_RIVN01000037.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_014634865.1~NZ_BMBT01000026.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_030017075.1~NZ_JASDEQ010000026.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_016939455.1~NZ_CP070515.1	97.723	1449	33	0	2	1450	36	1484	0.0	2494.0
AB022925.1	RS_GCF_023218865.1~NZ_JAJIAN010000011.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_025188785.1~NZ_RILJ01000043.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_025188605.1~NZ_RILD01000069.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_030361075.1~NZ_JAUCAN010000059.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_025188725.1~NZ_RILI01000011.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_008326545.1~NZ_BJJX01000006.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_025188685.1~NZ_RILF01000004.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_025188575.1~NZ_RILB01000016.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_001077275.1~NZ_JVUU01000012.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_014927285.1~NZ_JADAXK010000047.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_022832635.1~NZ_JALHKF010000009.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_925293145.1~NZ_CAKMBV010000015.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_025188625.1~NZ_RILG01000033.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_008326505.1~NZ_BJJW01000012.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_007989545.1~NZ_BJUO01000019.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_002591805.1~NZ_MWJP01000001.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_025188545.1~NZ_RIKZ01000001.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_025188705.1~NZ_RILH01000053.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_027676085.1~NZ_JAQEOX010000012.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_025188655.1~NZ_RILE01000042.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_006381855.1~NZ_QFDE01000001.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_025188485.1~NZ_RIKW01000001.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_004354555.1~NZ_PUFH01000005.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_025188465.1~NZ_RIKX01000020.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_002115685.1~NZ_NDXG01000009.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_015277835.1~NZ_CP063830.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_025188525.1~NZ_RILA01000071.1	97.723	1449	33	0	2	1450	37	1485	0.0	2494.0
AB022925.1	RS_GCF_023809725.1~NZ_CP098784.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_028619685.1~NZ_JAQPXX010000034.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_023744295.1~NZ_JAMRWD010000004.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_019926985.1~NZ_JAGFYI010000067.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_029823215.1~NZ_JAQZAP010000017.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_004745755.1~NZ_RQWG01000023.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_028619975.1~NZ_JAQPWF010000013.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_002092745.1~NZ_MPLP01000034.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_002092565.1~NZ_MPLH01000052.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	GB_GCA_022482705.1~JAKVOR010000002.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_023744315.1~NZ_JAMRWE010000003.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_025395125.1~NZ_QVOS01000022.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_018257055.1~NZ_JAERKO010000009.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_023743995.1~NZ_JAMRWF010000004.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_009497095.1~NZ_WIPA01000028.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_024329405.1~NZ_JAGPZI010000056.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_019927225.1~NZ_JAFREB010000076.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_003346345.1~NZ_QMJK01000028.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_028619365.1~NZ_JAQPYD010000010.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_000234825.3~NC_016805.3	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_024329625.1~NZ_JAGPZS010000057.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_019927245.1~NZ_JAGFYL010000069.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_019927005.1~NZ_JAGFYJ010000070.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_900290155.1~NZ_OKQW01000013.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_030269065.1~NZ_BSSJ01000013.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_028619905.1~NZ_JAQPWO010000047.1	97.724	1450	32	1	2	1450	4	1453	0.0	2494.0
AB022925.1	RS_GCF_000787735.1~NZ_BBPK01000028.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_028619505.1~NZ_JAQPYC010000028.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_003346155.1~NZ_QMJI01000052.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_001570665.1~NZ_BCMO01000050.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_028619515.1~NZ_JAQPYB010000033.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_028619335.1~NZ_JAQPYK010000029.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_023743975.1~NZ_JAMRWG010000001.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_005864365.1~NZ_VBTD01000027.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_028619555.1~NZ_JAQPYA010000027.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_028619355.1~NZ_JAQPYP010000029.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_025188395.1~NZ_RIKT01000014.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_002092735.1~NZ_MPLO01000031.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_029953235.2~NZ_CP128560.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_028620225.1~NZ_JAQPVO010000037.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_028619295.1~NZ_JAQPYI010000034.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_002092705.1~NZ_MPLQ01000040.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_028619695.1~NZ_JAQPWX010000029.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_028619495.1~NZ_JAQPYH010000027.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_900312985.1~NZ_OMPP01000020.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_024800105.1~NZ_CP103383.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_007990145.1~NZ_BJWB01000037.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
AB022925.1	RS_GCF_900452955.1~NZ_UGPE01000001.1	97.724	1450	32	1	2	1450	36	1485	0.0	2494.0
